iter	Passed	Remaining
1190	133284	34580
1191	133398	34468
1192	133499	34353
1193	133595	34238
1194	133696	34123
1195	133787	34006
1196	133901	33894
1197	133994	33778
1198	134085	33661
1199	134180	33545
1200	134275	33429
1201	134366	33312
1202	134460	33196
1203	134552	33079
1204	134646	32963
1205	134739	32846
1206	134830	32730
1207	134932	32616
1208	135022	32499
1209	135119	32384
1210	135214	32268
1211	135310	32153
1212	135400	32036
1213	135500	31921
1214	135597	31806
1215	135730	31700
1216	135841	31588
1217	135949	31476
1218	136068	31366
1219	136176	31253
1220	136284	31141
1221	136387	31027
1222	136483	30912
1223	136587	30799
1224	136686	30684
1225	136790	30571
1226	136893	30458
1227	136991	30343
1228	137088	30228
1229	137184	30113
1230	137276	29997
1231	137372	29882
1232	137461	29766
1233	137550	29650
1234	137638	29533
1235	137728	29417
1236	137828	29303
1237	137931	29190
1238	138025	29075
1239	138120	28960
1240	138222	28847
1241	138313	28731
1242	138416	28618
1243	138515	28504
1244	138617	28391
1245	138719	28278
1246	138818	28164
1247	138921	28051
1248	139034	27940
1249	139134	27826
1250	139239	27714
1251	139336	27600
1252	139437	27486
1253	139538	27373
1254	139636	27259
1255	139802	27159
1256	139914	27047
1257	140029	26937
1258	140160	26829
1259	140279	26719
1260	140398	26610
1261	140515	26499
1262	140633	26389
1263	140755	26280
1264	140871	26169
1265	140979	26057
1266	141096	25947
1267	141224	25839
1268	141345	25729
1269	141477	25621
1270	141596	25511
1271	141692	25397
1272	141803	25286
1273	141931	25177
1274	142049	25067
1275	142167	24957
1276	142275	24845
1277	142403	24736
1278	142515	24625
1279	142630	24514
1280	142749	24404
1281	142858	24292
1282	142967	24180
1283	143068	24067
1284	143168	23954
1285	143282	23843
1286	143387	23730
1287	143489	23617
1288	143591	23504
1289	143692	23391
1290	143804	23280
1291	143912	23168
1292	144013	23055
1293	144121	22943
1294	144228	22831
1295	144333	22719
1296	144434	22606
1297	144536	22493
1298	144652	22382
1299	144751	22269
1300	144844	22155
1301	144937	22041
1302	145034	21927
1303	145134	21814
1304	145233	21701
1305	145340	21589
1306	145473	21481
1307	145572	21368
1308	145686	21257
1309	145783	21144
1310	145882	21031
1311	145982	20918
1312	146076	20804
1313	146181	20692
1314	146278	20579
1315	146380	20466
1316	146478	20353
1317	146577	20240
1318	146668	20126
1319	146772	20014
1320	146866	19900
1321	146958	19787
1322	147059	19674
1323	147156	19561
1324	147259	19449
1325	147357	19336
1326	147471	19225
1327	147567	19112
1328	147665	18999
1329	147772	18888
1330	147872	18775
1331	147980	18664
1332	148081	18551
1333	148183	18439
1334	148279	18326
1335	148384	18214
1336	148484	18102
1337	148586	17990
1338	148687	17878
1339	148790	17765
1340	148892	17653
1341	148999	17542
1342	149090	17429
1343	149184	17316
1344	149278	17203
1345	149379	17090
1346	149466	16977
1347	149561	16864
1348	149662	16752
1349	149758	16639
1350	149851	16526
1351	149957	16415
1352	150048	16302
1353	150148	16190
1354	150250	16078
1355	150347	15966
1356	150458	15855
1357	150552	15742
1358	150648	15630
1359	150763	15519
1360	150863	15407
1361	150971	15296
1362	151076	15185
1363	151185	15074
1364	151302	14963
1365	151409	14852
1366	151515	14741
1367	151634	14631
1368	151732	14519
1369	151831	14407
1370	151928	14295
1371	152032	14183
1372	152127	14071
1373	152219	13959
1374	152312	13846
1375	152408	13734
1376	152489	13621
1377	152602	13510
1378	152700	13398
1379	152798	13286
1380	152887	13174
1381	152984	13062
1382	153071	12949
1383	153165	12837
1384	153268	12726
1385	153375	12615
1386	153470	12503
1387	153594	12393
1388	153703	12282
1389	153805	12171
1390	153901	12059
1391	154017	11949
1392	154130	11839
1393	154243	11728
1394	154357	11618
1395	154478	11508
1396	154596	11398
1397	154708	11287
1398	154817	11176
1399	154927	11066
